Product_Name,Price,Discount,Category
Ridge Gourd,₹40,40% OFF,?q=vegetable&nc=as
Carrot - Red,₹39,34% OFF,?q=vegetable&nc=as
Beans - Haricot (Loose),₹17,50% OFF,?q=vegetable&nc=as
Ginger - Organically Grown,₹30,57% OFF,?q=vegetable&nc=as
Cabbage,₹12,51% OFF,?q=vegetable&nc=as
Beetroot (Loose),₹32,32% OFF,?q=vegetable&nc=as
Brinjal - Varikatri (Loose),₹9.81,36% OFF,?q=vegetable&nc=as
Palak - Organically Grown,₹95.34,20% OFF,?q=vegetable&nc=as
Drumstick Leaves,₹27.07,24% OFF,?q=vegetable&nc=as
Broccoli,₹20,51% OFF,?q=vegetable&nc=as
"Chilli - Green, Organically Grown",₹44,45% OFF,?q=vegetable&nc=as
Coccinia (Loose),₹38,38% OFF,?q=vegetable&nc=as
Drumstick - Cut,₹29.15,24% OFF,?q=vegetable&nc=as
Carrot Red Halwa,₹44.76,24% OFF,?q=vegetable&nc=as
Carrot - Grated,₹29.15,24% OFF,?q=vegetable&nc=as
Drumstick - Organically Grown,₹14.58,24% OFF,?q=vegetable&nc=as
"Potato - Chandramukhi, Organically Grown",₹28,44% OFF,?q=vegetable&nc=as
Beetroot - Organically Grown (Loose),₹5.5,67% OFF,?q=vegetable&nc=as
Bitter Gourd (Loose),₹36,50% OFF,?q=vegetable&nc=as
Onion,₹166.25,38% OFF,?q=vegetable&nc=as
Ridge Gourd,₹40,40% OFF,?q=vegetable&nc=as
Carrot - Red,₹39,34% OFF,?q=vegetable&nc=as
Beans - Haricot (Loose),₹17,50% OFF,?q=vegetable&nc=as
Ginger - Organically Grown,₹30,57% OFF,?q=vegetable&nc=as
Cabbage,₹12,51% OFF,?q=vegetable&nc=as
Beetroot (Loose),₹32,32% OFF,?q=vegetable&nc=as
Brinjal - Varikatri (Loose),₹9.81,36% OFF,?q=vegetable&nc=as
Palak - Organically Grown,₹95.34,20% OFF,?q=vegetable&nc=as
Drumstick Leaves,₹27.07,24% OFF,?q=vegetable&nc=as
Broccoli,₹20,51% OFF,?q=vegetable&nc=as
"Chilli - Green, Organically Grown",₹44,45% OFF,?q=vegetable&nc=as
Coccinia (Loose),₹38,38% OFF,?q=vegetable&nc=as
Drumstick - Cut,₹29.15,24% OFF,?q=vegetable&nc=as
Carrot Red Halwa,₹44.76,24% OFF,?q=vegetable&nc=as
