Product_Name,Price,Discount,Category
Ridge Gourd,40,40,vegetable
Carrot - Red,39,34,vegetable
Beans - Haricot (Loose),17,50,vegetable
Ginger - Organically Grown,30,57,vegetable
Cabbage,12,51,vegetable
Beetroot (Loose),32,32,vegetable
Brinjal - Varikatri (Loose),9,36,vegetable
Palak - Organically Grown,95,20,vegetable
Drumstick Leaves,27,24,vegetable
Broccoli,20,51,vegetable
"Chilli - Green, Organically Grown",44,45,vegetable
Coccinia (Loose),38,38,vegetable
Drumstick - Cut,29,24,vegetable
Carrot Red Halwa,44,24,vegetable
Carrot - Grated,29,24,vegetable
Drumstick - Organically Grown,14,24,vegetable
"Potato - Chandramukhi, Organically Grown",28,44,vegetable
Beetroot - Organically Grown (Loose),5,67,vegetable
Bitter Gourd (Loose),36,50,vegetable
Onion,166,38,vegetable
Ridge Gourd,40,40,vegetable
Carrot - Red,39,34,vegetable
Beans - Haricot (Loose),17,50,vegetable
Ginger - Organically Grown,30,57,vegetable
Cabbage,12,51,vegetable
Beetroot (Loose),32,32,vegetable
Brinjal - Varikatri (Loose),9,36,vegetable
Palak - Organically Grown,95,20,vegetable
Drumstick Leaves,27,24,vegetable
Broccoli,20,51,vegetable
"Chilli - Green, Organically Grown",44,45,vegetable
Coccinia (Loose),38,38,vegetable
Drumstick - Cut,29,24,vegetable
Carrot Red Halwa,44,24,vegetable
Carrot - Grated,29,24,vegetable
Drumstick - Organically Grown,14,24,vegetable
"Potato - Chandramukhi, Organically Grown",28,44,vegetable
Beetroot - Organically Grown (Loose),5,67,vegetable
Bitter Gourd (Loose),36,50,vegetable
Onion,166,38,vegetable
Pasteurised Toned Milk,44,4,dairy
Fruit Yoghurt - Mango,175,11,dairy
Curd,25,10,dairy
Paneer,160,20,dairy
Masti Buttermilk - Spice,130,6,dairy
"Paneer - Rich In Protein, Calcium, Excellent Taste",408,27,dairy
Chocolate Shots,28,36,dairy
Fruit & Nut Chocolate Bar,243,21,dairy
Mishti Doi,140,8,dairy
Gold Milk,32,0,dairy
Cheese - Slice,224,0,dairy
Dahi - Made From Toned Milk,100,0,dairy
"Bites - Hazelnut, Roasted & Chocolate Coated",118,0,dairy
Pista Flavoured Milk,112,0,dairy
Badam Pista Shrikhand,120,0,dairy
Daily Health Toned Milk,31,0,dairy
Butter - Pasteurized,550,0,dairy
Shubham Milk,50,0,dairy
ActiPlus Dahi - Low Fat Curd With Probiotics,80,0,dairy
Cheese Slice - Processed Spread,335,0,dairy
Dairy Milk Chocolate,350,0,dairy
Cow Milk Feta Cheese,340,0,dairy
English Cheddar Cheese,530,0,dairy
"Butter - Unsalted, Naturally White",312,0,dairy
Mascarpone Cheese,380,0,dairy
Mozzarella Cheese,350,0,dairy
American Style Cream Cheese - Plain,399,0,dairy
Fetta Cheese,530,0,dairy
30 Second Almond Milk - Unsweetened,1500,0,dairy
Processed Cheese Cubes,135,0,dairy
Mozzarella Pizza Cheese,275,0,dairy
"OatWOW Rich Cocoa Oat Milk - Dairy-Free Alternative, Chocolate Flavoured Creamy",825,0,dairy
"Nutter Plant Based Herbs & Garlic Butter - Vegan, Dairy & Gluten Free",195,0,dairy
"Dairy Milk - Fruit & Nut Imported, Imported, Rich Classic Taste",399,0,dairy
Nutty Kulfi Madbury Chocolate Bar,45,0,dairy
Processed Cheese - Fresh Garlic,220,0,dairy
Pasteurised Toned Milk,44,4,dairy
Fruit Yoghurt - Mango,175,11,dairy
Curd,25,10,dairy
Paneer,160,20,dairy
Masti Buttermilk - Spice,130,6,dairy
"Paneer - Rich In Protein, Calcium, Excellent Taste",408,27,dairy
Chocolate Shots,28,36,dairy
Fruit & Nut Chocolate Bar,243,21,dairy
Mishti Doi,140,8,dairy
Gold Milk,32,30,dairy
Cheese - Slice,224,20,dairy
Dahi - Made From Toned Milk,100,12,dairy
"Bites - Hazelnut, Roasted & Chocolate Coated",118,0,dairy
Pista Flavoured Milk,112,0,dairy
Badam Pista Shrikhand,120,0,dairy
Daily Health Toned Milk,31,0,dairy
Butter - Pasteurized,550,0,dairy
Shubham Milk,50,0,dairy
ActiPlus Dahi - Low Fat Curd With Probiotics,80,0,dairy
Cheese Slice - Processed Spread,335,0,dairy
Dairy Milk Chocolate,350,0,dairy
Cow Milk Feta Cheese,340,0,dairy
English Cheddar Cheese,530,0,dairy
"Butter - Unsalted, Naturally White",312,0,dairy
Mascarpone Cheese,380,0,dairy
Mozzarella Cheese,350,0,dairy
American Style Cream Cheese - Plain,399,0,dairy
Fetta Cheese,530,0,dairy
30 Second Almond Milk - Unsweetened,1500,0,dairy
Processed Cheese Cubes,135,0,dairy
Mozzarella Pizza Cheese,275,0,dairy
"OatWOW Rich Cocoa Oat Milk - Dairy-Free Alternative, Chocolate Flavoured Creamy",825,0,dairy
"Nutter Plant Based Herbs & Garlic Butter - Vegan, Dairy & Gluten Free",195,0,dairy
"Dairy Milk - Fruit & Nut Imported, Imported, Rich Classic Taste",399,0,dairy
Nutty Kulfi Madbury Chocolate Bar,45,0,dairy
Processed Cheese - Fresh Garlic,220,0,dairy
Dairy Milk Chocolate Bar - Crispello,1500,0,dairy
"Mango Flavoured Milk - Nutritious, Dairy-Based Drink",135,0,dairy
Dairy Milk Honeycomb & Nuts - Imported,275,0,dairy
Cheese spread - Honey & cinnamon,330,0,dairy
30 Second Almond Milk - Unsweetened,400,0,dairy
Processed Cheese Cubes,99,0,dairy
